sample_year,analysis_value,,,,,,
1980,345.02,,,,,,
1980,346.77,,,,,,
1980,345.94,,,,,,
1980,345.18,,,,,,
1980,345.12,,,,,,
1980,349,,,,,,
1980,349.35,,,,,,
1980,351.16,,,,,,
1980,342.37,,,,,,
1980,344.24,,,,,,
1980,345.37,,,,,,
1980,341.36,,,,,,
1980,340.89,,,,,,
1980,348.99,,,,,,
1980,353.07,,,,,,
1980,347.15,,,,,,
1980,347.15,,,,,,
1980,340.59,,,,,,
1980,340.54,,,,,,
1980,343.69,,,,,,
1980,340.71,,,,,,
1980,341.1,,,,,,
1980,340.62,,,,,,
1980,341.9,,,,,,
1980,343.69,,,,,,
1980,342.12,,,,,,
1980,344.12,,,,,,
1980,341.5,,,,,,
1980,343.61,,,,,,
1980,348.73,,,,,,
1980,351.39,,,,,,
1980,349.76,,,,,,
1980,352.35,,,,,,
1980,349.86,,,,,,
1980,352.67,,,,,,
1980,344.74,,,,,,
1980,345.61,,,,,,
1980,347.59,,,,,,
1980,350.22,,,,,,
1980,346.47,,,,,,
1980,345,,,,,,
1980,345.97,,,,,,
1980,344.63,,,,,,
1980,342.89,,,,,,
1980,343.52,,,,,,
1980,341.94,,,,,,
1980,342.07,,,,,,
1980,342.6,,,,,,
1980,342.55,,,,,,
1980,345.24,,,,,,
1980,362.03,,,,,,
1980,343.69,,,,,,
1980,343.09,,,,,,
1980,342.65,,,,,,
1980,346.51,,,,,,
1980,342.91,,,,,,
1980,342.99,,,,,,
1980,342.23,,,,,,
1980,341.97,,,,,,
1980,342.63,,,,,,
1980,362.59,,,,,,
1980,346,,,,,,
1980,342.71,,,,,,
1980,343.36,,,,,,
1980,346.62,,,,,,
1980,362.99,,,,,,
1980,343.46,,,,,,
1980,345.41,,,,,,
1980,362.79,,,,,,
1980,344.99,,,,,,
1980,343.53,,,,,,
1980,342.73,,,,,,
1980,342.14,,,,,,
1980,341.9,,,,,,
1980,343.11,,,,,,
1980,343.57,,,,,,
1980,343.42,,,,,,
1980,341.8,,,,,,
1980,342.48,,,,,,
1980,341.93,,,,,,
1980,342.09,,,,,,
1980,351.4,,,,,,
1980,341.96,,,,,,
1980,342.17,,,,,,
1980,342.11,,,,,,
1980,349.46,,,,,,
1980,349.57,,,,,,
1980,354.69,,,,,,
1980,352.21,,,,,,
1980,348.06,,,,,,
1980,342.93,,,,,,
1980,342.65,,,,,,
1980,342.11,,,,,,
1980,343.35,,,,,,
1980,344.37,,,,,,
1980,338.07,,,,,,
1980,338.47,,,,,,
1980,337.49,,,,,,
1980,337.36,,,,,,
1980,340.05,,,,,,
1980,-999.99,,,,,,
1980,341.35,,,,,,
1980,340.59,,,,,,
1980,344.44,,,,,,
1980,339.62,,,,,,
1980,340.53,,,,,,
1980,339.55,,,,,,
1980,340.3,,,,,,
1980,361.87,,,,,,
1980,342.91,,,,,,
1980,347.43,,,,,,
1980,340.67,,,,,,
1980,344.7,,,,,,
1980,340.05,,,,,,
1980,341.78,,,,,,
1980,340.3,,,,,,
1980,341.56,,,,,,
1980,347.77,,,,,,
1980,346.55,,,,,,
1980,343.89,,,,,,
1980,344.28,,,,,,
1980,348.64,,,,,,
1980,344.85,,,,,,
1980,342.62,,,,,,
1980,341.42,,,,,,
1980,342.35,,,,,,
1980,344.57,,,,,,
1980,344.33,,,,,,
1980,342.21,,,,,,
1980,344.28,,,,,,
1980,343.14,,,,,,
1980,342.56,,,,,,
1980,340.19,,,,,,
1980,340.72,,,,,,
1980,337.94,,,,,,
1980,341.54,,,,,,
1980,340.04,,,,,,
1980,340.03,,,,,,
1980,361.89,,,,,,
1980,340.3,,,,,,
1980,358,,,,,,
1980,345.15,,,,,,
1980,343.67,,,,,,
1980,338.43,,,,,,
1980,336.43,,,,,,
1980,342.96,,,,,,
1980,340.3,,,,,,
1980,340.8,,,,,,
1980,340.94,,,,,,
1980,340.82,,,,,,
1980,343.83,,,,,,
1980,337.5,,,,,,
1980,337.68,,,,,,
1980,336,,,,,,
1980,336.49,,,,,,
1980,337.07,,,,,,
1980,336.96,,,,,,
1980,335.85,,,,,,
1980,335.97,,,,,,
1980,342.88,,,,,,
1980,335.36,,,,,,
1980,336.21,,,,,,
1980,335.97,,,,,,
1980,336.59,,,,,,
1980,336.75,,,,,,
1980,336.58,,,,,,
1980,348.16,,,,,,
1980,337.51,,,,,,
1980,337.69,,,,,,
1980,336.58,,,,,,
1980,336.99,,,,,,
1980,338.64,,,,,,
1980,337.62,,,,,,
1980,337.19,,,,,,
1980,336.37,,,,,,
1980,337.53,,,,,,
1980,338.03,,,,,,
1980,339.48,,,,,,
1980,338.94,,,,,,
1980,343.79,,,,,,
1980,342.47,,,,,,
1980,338.62,,,,,,
1980,349.37,,,,,,
1980,375.33,,,,,,
1980,339.99,,,,,,
1980,-999.99,,,,,,
1980,341.99,,,,,,
1981,342.34,,,,,,
1981,348.29,,,,,,
1981,339.79,,,,,,
1981,339.88,,,,,,
1981,339.66,,,,,,
1981,339.37,,,,,,
1981,341.42,,,,,,
1981,341.35,,,,,,
1981,348.44,,,,,,
1981,350.75,,,,,,
1981,345.69,,,,,,
1981,-999.99,,,,,,
1981,347.31,,,,,,
1981,349.28,,,,,,
1981,345.92,,,,,,
1981,353,,,,,,
1981,345.29,,,,,,
1981,345.28,,,,,,
1981,341.59,,,,,,
1981,341.61,,,,,,
1981,341.63,,,,,,
1981,346.21,,,,,,
1981,345.58,,,,,,
1981,346.06,,,,,,
1981,346.25,,,,,,
1981,341.65,,,,,,
1981,341.58,,,,,,
1981,341.7,,,,,,
1981,341.89,,,,,,
1981,341.58,,,,,,
1981,341.47,,,,,,
1981,341.55,,,,,,
1981,346.45,,,,,,
1981,-999.99,,,,,,
1981,349.19,,,,,,
1981,347.14,,,,,,
1981,347.07,,,,,,
1981,344.75,,,,,,
1981,345.45,,,,,,
1981,347.51,,,,,,
1981,346.36,,,,,,
1981,345.97,,,,,,
1981,346.66,,,,,,
1981,353.06,,,,,,
1981,359.28,,,,,,
1981,345.4,,,,,,
1981,346.76,,,,,,
1981,346.08,,,,,,
1981,344.95,,,,,,
1981,348.14,,,,,,
1981,347.65,,,,,,
1981,345.32,,,,,,
1981,346.3,,,,,,
1981,361.37,,,,,,
1981,353.59,,,,,,
1981,344.43,,,,,,
1981,344.64,,,,,,
1981,347.04,,,,,,
1981,-999.99,,,,,,
1981,343.96,,,,,,
1981,343.99,,,,,,
1981,343.26,,,,,,
1981,343.45,,,,,,
1981,343.05,,,,,,
1981,343.07,,,,,,
1981,342.69,,,,,,
1981,342.75,,,,,,
1981,342.98,,,,,,
1981,342.76,,,,,,
1981,342.64,,,,,,
1981,342.62,,,,,,
1981,342.43,,,,,,
1981,342.44,,,,,,
1981,342.79,,,,,,
1981,342.89,,,,,,
1981,342.63,,,,,,
1981,342.52,,,,,,
1981,342.44,,,,,,
1981,346.57,,,,,,
1981,342.53,,,,,,
1981,342.56,,,,,,
1981,342.92,,,,,,
1981,342.79,,,,,,
1981,343.32,,,,,,
1981,343.08,,,,,,
1981,342.24,,,,,,
1981,342.23,,,,,,
1981,341.7,,,,,,
1981,341.61,,,,,,
1981,340.32,,,,,,
1981,340.31,,,,,,
1981,341.34,,,,,,
1981,341.41,,,,,,
1981,338.72,,,,,,
1981,338.65,,,,,,
1981,339.7,,,,,,
1981,339.64,,,,,,
1981,339.02,,,,,,
1981,339.04,,,,,,
1981,339.62,,,,,,
1981,339.85,,,,,,
1981,340.08,,,,,,
1981,339.87,,,,,,
1981,339.75,,,,,,
1981,339.92,,,,,,
1981,339.6,,,,,,
1981,339.65,,,,,,
1981,339.53,,,,,,
1981,339.66,,,,,,
1981,339.7,,,,,,
1981,340,,,,,,
1981,339.21,,,,,,
1981,339.16,,,,,,
1981,339.033,,,,,,
1981,339.047,,,,,,
1981,336.2,,,,,,
1981,340.32,,,,,,
1981,338.29,,,,,,
1981,338.4,,,,,,
1981,337.6,,,,,,
1981,337.59,,,,,,
1981,337.33,,,,,,
1981,337.39,,,,,,
1981,337.41,,,,,,
1981,337.46,,,,,,
1981,337.207,,,,,,
1981,337.233,,,,,,
1981,338.29,,,,,,
1981,338.28,,,,,,
1981,337.75,,,,,,
1981,337.61,,,,,,
1981,337.527,,,,,,
1981,337.337,,,,,,
1981,337.14,,,,,,
1981,337.12,,,,,,
1981,336.99,,,,,,
1981,337.01,,,,,,
1981,337.713,,,,,,
1981,337.203,,,,,,
1981,336.93,,,,,,
1981,336.9,,,,,,
1981,336.86,,,,,,
1981,336.91,,,,,,
1981,336.957,,,,,,
1981,337.97,,,,,,
1981,337.81,,,,,,
1981,337.73,,,,,,
1981,337.77,,,,,,
1981,337.75,,,,,,
1981,337.71,,,,,,
1981,337.74,,,,,,
1981,337.56,,,,,,
1981,337.607,,,,,,
1981,337.61,,,,,,
1981,338.19,,,,,,
1981,338.28,,,,,,
1981,338.19,,,,,,
1981,338.07,,,,,,
1981,338.89,,,,,,
1981,339.44,,,,,,
1981,339.64,,,,,,
1981,339.45,,,,,,
1981,338.77,,,,,,
1981,339.11,,,,,,
1981,338.62,,,,,,
1981,338.64,,,,,,
1981,339.23,,,,,,
1981,339.29,,,,,,
1981,338.983,,,,,,
1981,338.907,,,,,,
1981,340.41,,,,,,
1981,340.43,,,,,,
1981,340.36,,,,,,
1981,340.357,,,,,,
1981,340.01,,,,,,
1981,340.04,,,,,,
1981,339.92,,,,,,
1981,339.82,,,,,,
1981,339.94,,,,,,
1981,339.97,,,,,,
1981,339.6,,,,,,
1981,339.72,,,,,,
1981,340.35,,,,,,
1981,340.25,,,,,,
1981,340.86,,,,,,
1981,339.91,,,,,,
1981,341.18,,,,,,
1981,341.27,,,,,,
1981,340.9,,,,,,
1981,340.9,,,,,,
1982,340.6,,,,,,
1982,340.64,,,,,,
1982,341.02,,,,,,
1982,340.95,,,,,,
1982,340.96,,,,,,
1982,341.06,,,,,,
1982,352.147,,,,,,
1982,340.927,,,,,,
1982,341.14,,,,,,
1982,341.2,,,,,,
1982,341.84,,,,,,
1982,341.84,,,,,,
1982,341.823,,,,,,
1982,-999.99,,,,,,
1982,343.57,,,,,,
1982,343.45,,,,,,
1982,341.84,,,,,,
1982,341.923,,,,,,
1982,342.73,,,,,,
1982,342.19,,,,,,
1982,341.85,,,,,,
1982,341.87,,,,,,
1982,341.357,,,,,,
1982,341.323,,,,,,
1982,342.103,,,,,,
1982,342.097,,,,,,
1982,342.55,,,,,,
1982,343.22,,,,,,
1982,343.86,,,,,,
1982,344,,,,,,
1982,343.25,,,,,,
1982,343.303,,,,,,
1982,344.05,,,,,,
1982,343.9,,,,,,
1982,342.507,,,,,,
1982,342.5,,,,,,
1982,344.91,,,,,,
1982,345.02,,,,,,
1982,343.163,,,,,,
1982,-999.99,,,,,,
1982,344.33,,,,,,
1982,344.45,,,,,,
1982,343.543,,,,,,
1982,343.617,,,,,,
1982,343.52,,,,,,
1982,343.38,,,,,,
1982,343.173,,,,,,
1982,343.127,,,,,,
1982,343.41,,,,,,
1982,343.51,,,,,,
1982,343.42,,,,,,
1982,343.44,,,,,,
1982,343.52,,,,,,
1982,343.52,,,,,,
1982,343.49,,,,,,
1982,343.47,,,,,,
1982,343.653,,,,,,
1982,343.71,,,,,,
1982,344.82,,,,,,
1982,344.81,,,,,,
1982,344.743,,,,,,
1982,344.69,,,,,,
1982,344.34,,,,,,
1982,344.21,,,,,,
1982,344.65,,,,,,
1982,344.323,,,,,,
1982,344.56,,,,,,
1982,344.15,,,,,,
1982,344.19,,,,,,
1982,343.46,,,,,,
1982,343.29,,,,,,
1982,343.38,,,,,,
1982,343.65,,,,,,
1982,342.99,,,,,,
1982,343.037,,,,,,
1982,344.26,,,,,,
1982,344.3,,,,,,
1982,344.797,,,,,,
1982,343.64,,,,,,
1982,343.61,,,,,,
1982,343.653,,,,,,
1982,343.587,,,,,,
1982,343.28,,,,,,
1982,343.32,,,,,,
1982,1002.66,,,,,,
1982,343.347,,,,,,
1982,343.1,,,,,,
1982,343.11,,,,,,
1982,343.423,,,,,,
1982,343.43,,,,,,
1982,341.07,,,,,,
1982,341.19,,,,,,
1982,341.72,,,,,,
1982,342.257,,,,,,
1982,341.27,,,,,,
1982,341.13,,,,,,
1982,341.297,,,,,,
1982,340.95,,,,,,
1982,342.65,,,,,,
1982,342.71,,,,,,
1982,343.01,,,,,,
1982,342.953,,,,,,
1982,342.423,,,,,,
1982,342.253,,,,,,
1982,341.81,,,,,,
1982,341.81,,,,,,
1982,341.25,,,,,,
1982,341.28,,,,,,
1982,341.29,,,,,,
1982,341.403,,,,,,
1982,341.357,,,,,,
1982,1000.96,,,,,,
1982,341.18,,,,,,
1982,341.28,,,,,,
1982,341.657,,,,,,
1982,-999.99,,,,,,
1982,341.46,,,,,,
1982,341.33,,,,,,
1982,340.23,,,,,,
1982,340.36,,,,,,
1982,340.447,,,,,,
1982,340.39,,,,,,
1982,339.83,,,,,,
1982,339.89,,,,,,
1982,359.28,,,,,,
1982,339.933,,,,,,
1982,337.24,,,,,,
1982,337.18,,,,,,
1982,337.627,,,,,,
1982,337.647,,,,,,
1982,337.14,,,,,,
1982,337.19,,,,,,
1982,337.18,,,,,,
1982,337.443,,,,,,
1982,338.56,,,,,,
1982,338.85,,,,,,
1982,338.75,,,,,,
1982,355.6,,,,,,
1982,337.49,,,,,,
1982,337.7,,,,,,
1982,337.613,,,,,,
1982,337.58,,,,,,
1982,341.48,,,,,,
1982,337.37,,,,,,
1982,337.463,,,,,,
1982,337.29,,,,,,
1982,336.72,,,,,,
1982,336.82,,,,,,
1982,337.71,,,,,,
1982,342.65,,,,,,
1982,334.67,,,,,,
1982,334.433,,,,,,
1982,334.06,,,,,,
1982,334.13,,,,,,
1982,336.253,,,,,,
1982,-999.99,,,,,,
1982,336.1,,,,,,
1982,336,,,,,,
1982,338.03,,,,,,
1982,338.09,,,,,,
1982,338.023,,,,,,
1982,338.137,,,,,,
1982,338.22,,,,,,
1982,338.2,,,,,,
1982,338.74,,,,,,
1982,338.73,,,,,,
1982,338.86,,,,,,
1982,338.84,,,,,,
1982,338.57,,,,,,
1982,338.44,,,,,,
1982,338.613,,,,,,
1982,338.64,,,,,,
1982,338.73,,,,,,
1982,338.8,,,,,,
1982,335.91,,,,,,
1982,335.78,,,,,,
1982,340.427,,,,,,
1982,340.277,,,,,,
1982,340.28,,,,,,
