sample_year,analysis_value,,,,,,
1996,113.02,,,,,,
1996,106.77,,,,,,
1996,101.1,,,,,,
1996,117.19,,,,,,
1996,117.75,,,,,,
1996,103.88,,,,,,
1996,102.65,,,,,,
1996,122.4,,,,,,
1996,117.84,,,,,,
1996,90.83,,,,,,
1996,89.12,,,,,,
1996,115.77,,,,,,
1996,115.38,,,,,,
1996,103.67,,,,,,
1996,99.74,,,,,,
1996,96.1,,,,,,
1996,93.64,,,,,,
1996,73.69,,,,,,
1996,72.08,,,,,,
1996,99.27,,,,,,
1996,97.67,,,,,,
1996,89.12,,,,,,
1996,89.59,,,,,,
1996,92.11,,,,,,
1996,90.2,,,,,,
1996,76.63,,,,,,
1996,77.44,,,,,,
1996,78.27,,,,,,
1996,77.57,,,,,,
1996,81.56,,,,,,
1996,80.03,,,,,,
1996,74.67,,,,,,
1996,71.77,,,,,,
1996,66.2,,,,,,
1996,65.1,,,,,,
1996,78.16,,,,,,
1996,77.18,,,,,,
1996,70.65,,,,,,
1996,67.63,,,,,,
1996,72.45,,,,,,
1996,213.07,,,,,,
1996,68.61,,,,,,
1996,67.6,,,,,,
1996,67.96,,,,,,
1996,66.45,,,,,,
1996,84.19,,,,,,
1996,81.36,,,,,,
1996,84.76,,,,,,
1996,83.43,,,,,,
1996,89.02,,,,,,
1996,86.48,,,,,,
1996,100.72,,,,,,
1996,95.7,,,,,,
1996,75.79,,,,,,
1996,73.15,,,,,,
1996,87.72,,,,,,
1996,86.24,,,,,,
1996,79.31,,,,,,
1996,78.41,,,,,,
1996,88.44,,,,,,
1996,85.38,,,,,,
1996,81.77,,,,,,
1996,80.98,,,,,,
1996,76.62,,,,,,
1996,74.13,,,,,,
1996,76.99,,,,,,
1996,76.89,,,,,,
1996,95.98,,,,,,
1996,95.57,,,,,,
1996,94.24,,,,,,
1996,94.85,,,,,,
1996,97.89,,,,,,
1996,97.76,,,,,,
1996,99.77,,,,,,
1996,99.45,,,,,,
1996,103.84,,,,,,
1996,103.47,,,,,,
1997,84.31,,,,,,
1997,83.89,,,,,,
1997,96.41,,,,,,
1997,96.04,,,,,,
1997,103.83,,,,,,
1997,100.66,,,,,,
1997,120.9,,,,,,
1997,119.24,,,,,,
1997,95.83,,,,,,
1997,94.54,,,,,,
1997,109.2,,,,,,
1997,107.54,,,,,,
1997,117.55,,,,,,
1997,116.73,,,,,,
1997,130.78,,,,,,
1997,131.33,,,,,,
1997,96.04,,,,,,
1997,116.19,,,,,,
1997,117.08,,,,,,
1997,93.57,,,,,,
1997,92.55,,,,,,
1997,155.55,,,,,,
1997,126.35,,,,,,
1997,126.86,,,,,,
1997,130.13,,,,,,
1997,127.78,,,,,,
1997,177.04,,,,,,
1997,175.29,,,,,,
1997,173.91,,,,,,
1997,174.49,,,,,,
1997,136.16,,,,,,
1997,131.14,,,,,,
1997,114.07,,,,,,
1997,113.42,,,,,,
1997,117.09,,,,,,
1997,115.29,,,,,,
1997,109.16,,,,,,
1997,115.45,,,,,,
1997,109.85,,,,,,
1997,117.71,,,,,,
1997,112.95,,,,,,
1997,116.81,,,,,,
1997,210.77,,,,,,
1997,104.54,,,,,,
1997,98.58,,,,,,
1997,101.96,,,,,,
1997,98.42,,,,,,
1997,89.01,,,,,,
1997,89.9,,,,,,
1997,95.49,,,,,,
1997,94.33,,,,,,
1997,104.19,,,,,,
1997,103.67,,,,,,
1997,110.48,,,,,,
1997,108.14,,,,,,
1997,108.55,,,,,,
1997,161.23,,,,,,
1997,120.52,,,,,,
1997,120.08,,,,,,
1997,117.9,,,,,,
1997,117.23,,,,,,
1997,83.17,,,,,,
1997,85.46,,,,,,
1997,83.87,,,,,,
1997,78.78,,,,,,
1997,109.91,,,,,,
1997,80.44,,,,,,
1997,79.52,,,,,,
1997,87.85,,,,,,
1997,87.72,,,,,,
1997,85.7,,,,,,
1997,77.86,,,,,,
1997,81.77,,,,,,
1997,80.87,,,,,,
1997,83.28,,,,,,
1997,80.67,,,,,,
1997,62.76,,,,,,
1997,179.32,,,,,,
1997,72.51,,,,,,
1997,71.15,,,,,,
1997,69.83,,,,,,
1997,80.23,,,,,,
1997,78.13,,,,,,
1997,78.38,,,,,,
1997,77.02,,,,,,
1997,88.55,,,,,,
1997,86.63,,,,,,
1997,84.18,,,,,,
1997,83.86,,,,,,
1997,67.75,,,,,,
1997,65.09,,,,,,
1997,67.01,,,,,,
1997,69.79,,,,,,
1997,65.23,,,,,,
1997,64.23,,,,,,
1997,73.58,,,,,,
1997,71.53,,,,,,
1997,63.02,,,,,,
1997,62.51,,,,,,
1997,64.66,,,,,,
1997,63.63,,,,,,
1997,77.89,,,,,,
1997,79.67,,,,,,
1997,81.33,,,,,,
1997,80.83,,,,,,
1997,75.36,,,,,,
1997,77.7,,,,,,
1997,81.11,,,,,,
1997,79.49,,,,,,
1997,72.46,,,,,,
1997,70.37,,,,,,
1997,75.8,,,,,,
1997,76.11,,,,,,
1997,83.03,,,,,,
1997,88.94,,,,,,
1997,86.72,,,,,,
1997,104.18,,,,,,
1997,102.43,,,,,,
1997,106.58,,,,,,
1997,106.59,,,,,,
1997,83.49,,,,,,
1997,83.37,,,,,,
1997,88.07,,,,,,
1997,87.4,,,,,,
1997,80.8,,,,,,
1997,78.26,,,,,,
1997,80.05,,,,,,
1997,81.57,,,,,,
1997,120.3,,,,,,
1997,120.69,,,,,,
1997,120.14,,,,,,
1997,118.85,,,,,,
1997,110.99,,,,,,
1997,111.91,,,,,,
1997,117.78,,,,,,
1997,114.84,,,,,,
1997,102.15,,,,,,
1997,104.26,,,,,,
1997,105.8,,,,,,
1997,102.77,,,,,,
1997,107.13,,,,,,
1997,106.06,,,,,,
1997,112.12,,,,,,
1997,112.03,,,,,,
1997,98.51,,,,,,
1997,98.78,,,,,,
1997,105.64,,,,,,
1997,103.71,,,,,,
1997,135.87,,,,,,
1997,135.48,,,,,,
1997,141.44,,,,,,
1997,139.13,,,,,,
1997,114.09,,,,,,
1997,115.86,,,,,,
1997,113.08,,,,,,
1997,113.26,,,,,,
1997,133.23,,,,,,
1997,131.87,,,,,,
1997,128.23,,,,,,
1997,127.99,,,,,,
1997,128.53,,,,,,
1997,129.11,,,,,,
1997,125.77,,,,,,
1997,124.57,,,,,,
1997,119.81,,,,,,
1997,120.37,,,,,,
